"","Trend_Time","Trend","Trend_Q0.025","Trend_Q0.975","Number_of_Routes","Region","trend_type"
"1","Long-term",-3.15786650862851,-5.47430352902802,-0.859668036041102,15,"CA-AB-10","Long"
"2","Long-term",-1.80537943225493,-2.79173947741419,-0.748636967899749,70,"CA-AB-6","Long"
"3","Long-term",-1.24623939765918,-2.00530287967215,-0.521297755041311,95,"CA-AB-11","Long"
"4","Long-term",-6.06518441773181,-9.12914638859144,-3.11745363280512,16,"US-AK-5","Long"
"5","Long-term",-1.26187243531902,-2.91680843130119,0.307467299956456,8,"US-AL-24","Long"
"6","Long-term",5.51646314811064,4.79633801199218,6.26151954700208,59,"US-AL-27","Long"
"7","Long-term",2.43290088672395,1.61515063108567,3.24740323077553,28,"US-AL-28","Long"
"8","Long-term",5.23891322962534,2.54428861921545,7.87018928734108,7,"US-AL-29","Long"
"9","Long-term",-0.740487642452958,-1.84795983444084,0.470047070172096,12,"US-AR-24","Long"
"10","Long-term",-0.396808041519553,-1.17014526295786,0.356444226607589,24,"US-AR-25","Long"
"11","Long-term",2.20238431514572,1.17284788674743,3.19703568297595,18,"US-AR-26","Long"
"12","Long-term",0.578241727147755,-2.16002955356456,3.65732639787935,12,"US-AZ-16","Long"
"13","Long-term",3.62481552265365,1.00462632504842,6.52499997202179,22,"US-AZ-33","Long"
"14","Long-term",6.37840269398159,3.73238982394638,9.36758418637227,22,"US-AZ-34","Long"
"15","Long-term",-3.22594418187876,-4.32283662144305,-2.03893071536029,49,"CA-BC-10","Long"
"16","Long-term",-3.49013060988919,-4.60273692453148,-2.31540504470611,40,"CA-BC-5","Long"
"17","Long-term",0.307307654759781,-2.87806884072816,3.88294793647402,9,"CA-BC-6","Long"
"18","Long-term",-3.70031208600589,-5.01916558592768,-2.44753449094061,25,"CA-BC-9","Long"
"19","Long-term",-3.04799137861976,-4.50817608811821,-1.63949488724313,25,"US-CA-15","Long"
"20","Long-term",-0.116505527961774,-0.825375097311726,0.63847299148047,89,"US-CA-32","Long"
"21","Long-term",0.9513101695793,-1.46961888651808,3.19361883062607,25,"US-CA-33","Long"
"22","Long-term",-2.49911888353718,-3.66083235298136,-1.38890876767778,23,"US-CA-5","Long"
"23","Long-term",-3.89971039529988,-4.91359527198661,-2.80467520932575,17,"US-CA-9","Long"
"24","Long-term",1.76116674265805,-1.10121269353574,5.02849948386162,4,"US-CO-10","Long"
"25","Long-term",-1.59909827634986,-2.77764653977213,-0.298268712006171,79,"US-CO-16","Long"
"26","Long-term",0.912513403819692,-0.00875715688339357,1.88719180328657,51,"US-CO-18","Long"
"27","Long-term",-1.3554937868212,-2.39128477458835,-0.302639965655655,18,"US-CT-30","Long"
"28","Long-term",-0.158728166317107,-1.1262920264916,0.788841549897764,17,"US-DE-30","Long"
"29","Long-term",4.85903384398013,3.36808276116513,6.350462590936,37,"US-FL-27","Long"
"30","Long-term",0.511247966883688,-1.50620630434606,2.89282680153923,41,"US-FL-31","Long"
"31","Long-term",12.7056019787108,11.0936301048085,14.5198216589272,59,"US-GA-27","Long"
"32","Long-term",0.580401161440258,-0.669063388837883,1.7683915072121,9,"US-GA-28","Long"
"33","Long-term",3.0096193629805,1.86344146915057,4.20358653259386,33,"US-GA-29","Long"
"34","Long-term",-0.696528273742891,-1.85062769920421,0.439591486127989,10,"US-IA-11","Long"
"35","Long-term",0.1219428091634,-0.462352366587095,0.695084127103526,28,"US-IA-22","Long"
"36","Long-term",-3.8698781588557,-5.45749326911584,-2.27520129586873,19,"US-ID-10","Long"
"37","Long-term",-1.04627829082551,-2.13321524041055,0.0505813078338017,31,"US-ID-9","Long"
"38","Long-term",0.737668201393393,0.380500088194011,1.10895060908445,85,"US-IL-22","Long"
"39","Long-term",1.81709265228288,-0.57594489322264,4.25886303826391,4,"US-IL-23","Long"
"40","Long-term",-1.17227882008543,-1.99765194500777,-0.355497026453423,13,"US-IL-24","Long"
"41","Long-term",0.430729361045268,-0.296140742776879,1.14418716347594,33,"US-IN-22","Long"
"42","Long-term",-0.351880523410719,-1.58037128624509,1.02477380521749,11,"US-IN-23","Long"
"43","Long-term",-1.04958292032122,-1.8135875433179,-0.314045428345853,20,"US-IN-24","Long"
"44","Long-term",1.03637025109293,-0.739766288372519,2.68896716504319,8,"US-KS-18","Long"
"45","Long-term",-1.12699320581091,-1.63607959267538,-0.553680893400336,35,"US-KS-19","Long"
"46","Long-term",-1.67206453333366,-2.27980387589064,-1.07131997806485,22,"US-KS-22","Long"
"47","Long-term",-1.52458927800813,-1.93973632071328,-1.10538675310469,40,"US-KY-24","Long"
"48","Long-term",-1.51485590588729,-2.84355117611008,-0.126205319919321,16,"US-KY-28","Long"
"49","Long-term",6.29172566980537,4.98351816357802,7.73712689062993,41,"US-LA-25","Long"
"50","Long-term",9.37696135456106,7.32289139984647,11.4910118997202,24,"US-LA-26","Long"
"51","Long-term",7.71819085973019,4.30301872268905,11.5854750784665,6,"US-LA-27","Long"
"52","Long-term",9.07235274568167,7.01523843646037,11.2967704487596,21,"US-LA-37","Long"
"53","Long-term",-0.837086742620557,-2.16557217283681,0.538662600006672,8,"US-MA-14","Long"
"54","Long-term",-0.886130146546948,-1.7422358961631,-0.00839329916425509,21,"US-MA-30","Long"
"55","Long-term",-1.15404889328287,-2.84184765353476,0.529162848644535,9,"CA-MB-12","Long"
"56","Long-term",-2.57505547481496,-3.47680655765852,-1.68929099464892,25,"CA-MB-6","Long"
"57","Long-term",-0.106618707606188,-0.857275537784751,0.654687514840494,36,"CA-MB-11","Long"
"58","Long-term",-0.975196687596763,-4.32529615957104,2.3844561345521,4,"CA-MB-8","Long"
"59","Long-term",-0.725361692058296,-1.51971970468732,0.0634055556874072,15,"US-MD-28","Long"
"60","Long-term",-1.71548523571884,-2.37530397347672,-1.02918320508403,17,"US-MD-29","Long"
"61","Long-term",-2.05677759449453,-2.4903217463792,-1.56801649745025,41,"US-MD-30","Long"
"62","Long-term",-5.46859011565058,-6.21661690540479,-4.6405623307201,68,"US-ME-14","Long"
"63","Long-term",-3.81659049956788,-4.71027710093237,-2.95801390942875,46,"US-MI-12","Long"
"64","Long-term",-0.264753583171079,-0.821243179631008,0.356888159266994,44,"US-MI-23","Long"
"65","Long-term",0.376986376661592,-0.352026737311218,1.02762350465245,27,"US-MN-11","Long"
"66","Long-term",-2.60375193410341,-3.40637886503223,-1.76945879937204,33,"US-MN-12","Long"
"67","Long-term",-0.209389485347927,-1.21822807430263,0.886002868130237,5,"US-MN-22","Long"
"68","Long-term",0.0709718440229712,-0.680304326556807,0.878953254716632,18,"US-MN-23","Long"
"69","Long-term",-0.809209407556455,-1.49785577364963,-0.112463372325631,47,"US-MO-22","Long"
"70","Long-term",-1.22448214125255,-1.96643735890582,-0.456258929383664,41,"US-MO-24","Long"
"71","Long-term",0.439908764850105,-0.825952617220803,1.8635321178215,5,"US-MO-26","Long"
"72","Long-term",1.90383090962049,-0.136298890367037,3.89485651458819,10,"US-MS-26","Long"
"73","Long-term",2.07421579902326,1.2288888775573,2.89505891685272,43,"US-MS-27","Long"
"74","Long-term",-1.16433530717105,-2.25486487844165,-0.0924840805468088,36,"US-MT-10","Long"
"75","Long-term",0.0643769365774483,-1.35128220799797,1.66436545832621,20,"US-MT-11","Long"
"76","Long-term",-0.459215900301196,-1.47940522632836,0.651668429102108,33,"US-MT-17","Long"
"77","Long-term",-4.64840293807315,-5.32288198995555,-3.97440909366467,43,"CA-NB-14","Long"
"78","Long-term",2.34182087015565,1.60090220981922,3.07236866210548,49,"US-NC-27","Long"
"79","Long-term",-0.69475285820747,-2.46602928931963,1.13869054003603,14,"US-NC-28","Long"
"80","Long-term",0.201479022663775,-0.703857592755379,1.13800452540834,31,"US-NC-29","Long"
"81","Long-term",0.156170508874665,-0.40926436910685,0.776016114831001,35,"US-ND-11","Long"
"82","Long-term",-0.902913460272969,-1.99740821337776,0.167569314595019,15,"US-ND-17","Long"
"83","Long-term",1.16199722644071,-0.510028847982248,2.81612483430678,7,"US-NE-11","Long"
"84","Long-term",3.15848087333511,1.26972239916819,5.05712358484004,12,"US-NE-18","Long"
"85","Long-term",-0.591139209632874,-1.26804099932231,0.0144794778116811,38,"US-NE-19","Long"
"86","Long-term",-1.32547854043856,-2.2701221331094,-0.318903464477223,9,"US-NE-22","Long"
"87","Long-term",-3.24842916588234,-4.00973669225743,-2.54847051393244,21,"US-NH-14","Long"
"88","Long-term",-3.95643763263792,-5.35972299093076,-2.5717943025519,5,"US-NH-30","Long"
"89","Long-term",-1.92873611525002,-3.59657346716249,-0.203009987210858,7,"US-NJ-28","Long"
"90","Long-term",-0.433605703907042,-2.178696911156,1.34845387680358,5,"US-NJ-29","Long"
"91","Long-term",0.0800519319950288,-0.801782834389466,1.12729164080141,28,"US-NJ-30","Long"
"92","Long-term",1.60227900276505,0.512269740205357,2.72566699316064,35,"US-NM-16","Long"
"93","Long-term",2.60167312144332,1.51828469628171,3.7484060213048,17,"US-NM-18","Long"
"94","Long-term",2.21041427628448,0.426050072065649,4.00736170967842,20,"US-NM-35","Long"
"95","Long-term",-4.2608715394403,-5.06640129697306,-3.42873600533723,38,"CA-NSPE-14","Long"
"96","Long-term",-0.219234046529354,-5.09016445957517,5.42425913616281,7,"CA-NT-6","Long"
"97","Long-term",1.81666587923439,0.183349355290111,3.43494601390998,29,"US-NV-9","Long"
"98","Long-term",-0.353466408669678,-0.776807972437431,0.0922136402902484,55,"US-NY-13","Long"
"99","Long-term",-6.57460142640933,-7.57935856315512,-5.58427481703774,27,"US-NY-14","Long"
"100","Long-term",-1.48949623727972,-1.9999866967521,-0.918167549857088,38,"US-NY-28","Long"
"101","Long-term",-0.521333928640805,-2.379757174213,1.14999374654639,7,"US-NY-30","Long"
"102","Long-term",-0.00344811080291163,-0.855414582778179,0.851369946235479,15,"US-OH-13","Long"
"103","Long-term",0.677566849276512,0.00889247379516511,1.36948773308578,31,"US-OH-22","Long"
"104","Long-term",1.76263208716281,0.634759843749503,3.00365881676877,8,"US-OH-23","Long"
"105","Long-term",-0.18660553332025,-0.956218831402847,0.664752315294488,24,"US-OH-28","Long"
"106","Long-term",4.77854352374781,2.08541659981975,7.54578287420561,5,"US-OK-18","Long"
"107","Long-term",-1.38896322991952,-2.11365490247652,-0.638854839894385,24,"US-OK-19","Long"
"108","Long-term",-0.637909864071323,-1.5551241329834,0.306355459732029,13,"US-OK-21","Long"
"109","Long-term",-0.461650330957508,-1.60365210525136,0.809603134018003,6,"US-OK-22","Long"
"110","Long-term",-0.472066848375674,-1.68449544106321,0.730657232562508,12,"US-OK-25","Long"
"111","Long-term",-3.68213185061148,-4.34721608901095,-2.96931995832942,69,"CA-ON-12","Long"
"112","Long-term",-1.15579956824177,-1.5879684739345,-0.706494313233898,75,"CA-ON-13","Long"
"113","Long-term",-4.29807344962878,-6.43596017766054,-2.1483658059077,21,"CA-ON-8","Long"
"114","Long-term",-4.012315967985,-5.7251034607409,-2.42664834222377,19,"US-OR-10","Long"
"115","Long-term",-2.44063616382122,-3.13833080293277,-1.71786176104151,37,"US-OR-5","Long"
"116","Long-term",-2.02135343740825,-2.95618828232984,-1.0938538338349,48,"US-OR-9","Long"
"117","Long-term",0.129253145206698,-0.899127476719732,1.28523602988921,9,"US-PA-13","Long"
"118","Long-term",-1.04998015326686,-1.38513900835862,-0.676779660977719,98,"US-PA-28","Long"
"119","Long-term",-1.5425406229053,-2.3642538448555,-0.708094943477277,19,"US-PA-29","Long"
"120","Long-term",-4.87404213927226,-5.77131332136296,-3.93526435754701,49,"CA-QC-12","Long"
"121","Long-term",-4.11583955842177,-4.81111656382917,-3.31048091744176,23,"CA-QC-13","Long"
"122","Long-term",-5.51396549506951,-6.55585919596851,-4.27324290238954,40,"CA-QC-14","Long"
"123","Long-term",-5.05755362158041,-6.95884824327488,-3.17816219652666,27,"CA-QC-8","Long"
"124","Long-term",-0.434551632719432,-2.93141384330298,2.18871364031922,6,"US-RI-30","Long"
"125","Long-term",7.65292120438873,6.14849472857806,9.29435028066729,25,"US-SC-27","Long"
"126","Long-term",-0.783802692745489,-2.19935320406154,0.91409411828341,19,"US-SC-29","Long"
"127","Long-term",0.723101011582383,-0.00904757786240717,1.43195581889084,21,"US-SD-11","Long"
"128","Long-term",-0.372486741137762,-1.21426740162151,0.514297914415235,37,"US-SD-17","Long"
"129","Long-term",-0.0678735032972111,-0.698465020270362,0.570781602203025,79,"CA-SK-11","Long"
"130","Long-term",-2.35195996980702,-3.99571538981604,-0.823932957505995,31,"CA-SK-6","Long"
"131","Long-term",-2.75012724645705,-3.39223899158078,-2.12782303915996,16,"US-TN-24","Long"
"132","Long-term",1.65416697339054,-0.391800764593627,3.98931636463476,3,"US-TN-26","Long"
"133","Long-term",-0.585215288936197,-1.5564147178638,0.488806920348761,10,"US-TN-27","Long"
"134","Long-term",-0.260861167289483,-0.845178335548963,0.281739646016718,19,"US-TN-28","Long"
"135","Long-term",5.04135686433256,3.77026992567936,6.49824168697998,29,"US-TX-18","Long"
"136","Long-term",3.63430063696969,2.27018878318231,4.92715809116475,22,"US-TX-19","Long"
"137","Long-term",7.41790414594352,5.5031175232493,9.48956807844569,20,"US-TX-20","Long"
"138","Long-term",2.4685216823625,1.77658617916998,3.11667082343039,60,"US-TX-21","Long"
"139","Long-term",3.43079877218133,2.12979874033116,4.66537738886354,22,"US-TX-25","Long"
"140","Long-term",1.74228612946186,0.384274674016396,3.19097181891432,30,"US-TX-35","Long"
"141","Long-term",0.664765909204068,-1.04121998053428,2.48082749048675,26,"US-TX-36","Long"
"142","Long-term",6.57617353135695,4.48856405733946,8.73632969557913,21,"US-TX-37","Long"
"143","Long-term",2.52705566365873,0.670061978200436,4.54019893756937,42,"US-UT-16","Long"
"144","Long-term",0.933060434873056,-0.714173910737657,2.64511080891229,29,"US-UT-9","Long"
"145","Long-term",-1.04762369010305,-2.88250979237241,0.735881025859788,8,"US-VA-27","Long"
"146","Long-term",1.02633180965379,0.18673326055885,1.87457381529985,21,"US-VA-28","Long"
"147","Long-term",-1.21306177589389,-1.9482526169779,-0.469702902958708,26,"US-VA-29","Long"
"148","Long-term",-3.40875949389379,-5.022144711413,-1.69746159214397,4,"US-VA-30","Long"
"149","Long-term",-4.09218643502763,-5.70936992697129,-2.49547796026762,6,"US-VT-13","Long"
"150","Long-term",-4.65146610692427,-5.6340585493867,-3.67869584047345,20,"US-VT-14","Long"
"151","Long-term",-3.65794438411638,-6.34791609881565,-1.01856063141042,10,"US-WA-10","Long"
"152","Long-term",-1.2704369977835,-2.07608619770774,-0.502471693572113,28,"US-WA-5","Long"
"153","Long-term",-0.481291310774778,-1.31853556732753,0.38181728408642,50,"US-WA-9","Long"
"154","Long-term",-1.90646350920074,-2.66721042045659,-1.19112949136623,32,"US-WI-12","Long"
"155","Long-term",0.0151483447996537,-0.358529560451243,0.42299320185211,64,"US-WI-23","Long"
"156","Long-term",-0.419276458424112,-0.975300562516691,0.211245186522571,57,"US-WV-28","Long"
"157","Long-term",2.20508333384006,0.713031880410411,3.79853513028475,68,"US-WY-10","Long"
"158","Long-term",1.52858682445004,-1.2889900171632,4.56993021116257,6,"US-WY-16","Long"
"159","Long-term",-0.804158921774045,-2.29766158228811,0.744041803944905,38,"US-WY-17","Long"
"160","Long-term",0.0747074111647095,-2.94630862420012,2.95964957984147,5,"US-WY-18","Long"
"161","Long-term",-5.41484331649727,-8.67041574340502,-2.02254244450192,15,"CA-YT-4","Long"
"162","Short-term",-9.50215265759602,-15.5573668684231,-3.21864367548401,14,"CA-AB-10","Short"
